state,date,sex,age,ethnicity,population
Pahang,1/1/2014,both,overall,other_citizen,5.8
Pahang,1/1/2014,both,overall,other_noncitizen,98.5
Pahang,1/1/2015,both,overall,overall,1607.9
Pahang,1/1/2015,both,overall,bumi_malay,1127
Pahang,1/1/2015,both,overall,bumi_other,77
Pahang,1/1/2015,both,overall,chinese,233.1
Pahang,1/1/2015,both,overall,indian,64.5
Pahang,1/1/2015,both,overall,other_citizen,5.4
Pahang,1/1/2015,both,overall,other_noncitizen,101
Pahang,1/1/2016,both,overall,overall,1626.7
Pahang,1/1/2016,both,overall,bumi_malay,1141.6
Pahang,1/1/2016,both,overall,bumi_other,77.9
Pahang,1/1/2016,both,overall,chinese,232.6
Pahang,1/1/2016,both,overall,indian,64.9
Pahang,1/1/2016,both,overall,other_citizen,5.6
Pahang,1/1/2016,both,overall,other_noncitizen,104.4
Pahang,1/1/2017,both,overall,overall,1647
Pahang,1/1/2017,both,overall,bumi_malay,1156.8
Pahang,1/1/2017,both,overall,bumi_other,79.5
Pahang,1/1/2017,both,overall,chinese,232.7
Pahang,1/1/2017,both,overall,indian,65.3
Pahang,1/1/2017,both,overall,other_citizen,5.8
Pahang,1/1/2017,both,overall,other_noncitizen,106.9
Pahang,1/1/2018,both,overall,overall,1664.7
Pahang,1/1/2018,both,overall,bumi_malay,1170.4
Pahang,1/1/2018,both,overall,bumi_other,80.7
Pahang,1/1/2018,both,overall,chinese,232.7
Pahang,1/1/2018,both,overall,indian,66.5
Pahang,1/1/2018,both,overall,other_citizen,6.1
Pahang,1/1/2018,both,overall,other_noncitizen,108.2
Pahang,1/1/2019,both,overall,overall,1671.4
Pahang,1/1/2019,both,overall,bumi_malay,1183.9
Pahang,1/1/2019,both,overall,bumi_other,82.5
Pahang,1/1/2019,both,overall,chinese,232.6
Pahang,1/1/2019,both,overall,indian,67.7
Pahang,1/1/2019,both,overall,other_citizen,6.3
Pahang,1/1/2019,both,overall,other_noncitizen,98.9
Pahang,1/1/2020,both,overall,overall,1591.3
Pahang,1/1/2020,both,overall,bumi_malay,1134.2
Pahang,1/1/2020,both,overall,bumi_other,92.2
Pahang,1/1/2020,both,overall,chinese,221.7
Pahang,1/1/2020,both,overall,indian,55.9
Pahang,1/1/2020,both,overall,other_citizen,9.2
Pahang,1/1/2020,both,overall,other_noncitizen,78.1
Pahang,1/1/2021,both,overall,overall,1601.5
Pahang,1/1/2021,both,overall,bumi_malay,1149.7
Pahang,1/1/2021,both,overall,bumi_other,91.6
Pahang,1/1/2021,both,overall,chinese,221.3
Pahang,1/1/2021,both,overall,indian,55.8
Pahang,1/1/2021,both,overall,other_citizen,9.3
Pahang,1/1/2021,both,overall,other_noncitizen,73.8
Pahang,1/1/2022,both,overall,overall,1614.3
Pahang,1/1/2022,both,overall,bumi_malay,1161.4
Pahang,1/1/2022,both,overall,bumi_other,92.9
Pahang,1/1/2022,both,overall,chinese,220.6
Pahang,1/1/2022,both,overall,indian,55.8
Pahang,1/1/2022,both,overall,other_citizen,9.4
Pahang,1/1/2022,both,overall,other_noncitizen,74.2
Pahang,1/1/2023,both,overall,overall,1643.2
Pahang,1/1/2023,both,overall,bumi_malay,1173.9
Pahang,1/1/2023,both,overall,bumi_other,94.4
Pahang,1/1/2023,both,overall,chinese,220
Pahang,1/1/2023,both,overall,indian,55.8
Pahang,1/1/2023,both,overall,other_citizen,9.5
Pahang,1/1/2023,both,overall,other_noncitizen,89.6
Pahang,1/1/2024,both,overall,overall,1668.2
Pahang,1/1/2024,both,overall,bumi_malay,1185.3
Pahang,1/1/2024,both,overall,bumi_other,95.8
Pahang,1/1/2024,both,overall,chinese,219.3
